,age,job,marital,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y
58,40,2,2,0,24,1,0,5,8,185,1,999,0,0
59,46,8,1,0,179,1,0,5,8,1778,1,999,0,0
60,32,1,1,0,0,1,0,5,8,138,1,999,0,0
61,53,10,0,0,989,1,0,5,8,812,1,999,0,0
62,57,2,1,0,249,1,0,5,8,164,1,999,0,0
63,33,8,1,0,790,1,0,5,8,391,1,999,0,0
64,49,2,1,0,154,1,0,5,8,357,1,999,0,0
65,51,5,1,0,6530,1,0,5,8,91,1,999,0,0
66,60,6,1,0,100,0,0,5,8,528,1,999,0,0
67,59,5,0,0,59,1,0,5,8,273,1,999,0,0
68,55,10,1,0,1205,1,0,5,8,158,2,999,0,0
69,35,2,2,0,12223,1,1,5,8,177,1,999,0,0
70,57,2,1,0,5935,1,1,5,8,258,1,999,0,0
71,31,8,1,0,25,1,1,5,8,172,1,999,0,0
72,54,5,1,0,282,1,1,5,8,154,1,999,0,0
73,55,2,1,0,23,1,0,5,8,291,1,999,0,0
74,43,10,1,0,1937,1,0,5,8,181,1,999,0,0
75,53,10,1,0,384,1,0,5,8,176,1,999,0,0
76,44,2,1,0,582,0,1,5,8,211,1,999,0,0
77,55,8,0,0,91,0,0,5,8,349,1,999,0,0
78,49,8,0,0,0,1,1,5,8,272,1,999,0,0
79,55,8,0,1,1,1,0,5,8,208,1,999,0,0
80,45,1,2,0,206,1,0,5,8,193,1,999,0,0
81,47,8,0,0,164,0,0,5,8,212,1,999,0,0
82,42,10,2,0,690,1,0,5,8,20,1,999,0,0
83,59,1,1,0,2343,1,0,5,8,1042,1,999,0,1
84,46,7,1,0,137,1,1,5,8,246,1,999,0,0
85,51,2,1,0,173,1,0,5,8,529,2,999,0,0
86,56,1,1,0,45,0,0,5,8,1467,1,999,0,1
87,41,10,1,0,1270,1,0,5,8,1389,1,999,0,1
88,46,5,0,0,16,1,1,5,8,188,2,999,0,0
89,57,6,1,0,486,1,0,5,8,180,2,999,0,0
90,42,5,2,0,50,0,0,5,8,48,1,999,0,0
91,30,10,1,0,152,1,1,5,8,213,2,999,0,0
92,60,1,1,0,290,1,0,5,8,583,1,999,0,0
93,60,2,1,0,54,1,0,5,8,221,1,999,0,0
94,57,3,0,0,-37,0,0,5,8,173,1,999,0,0
95,36,5,1,0,101,1,1,5,8,426,1,999,0,0
96,55,2,1,0,383,0,0,5,8,287,1,999,0,0
97,60,6,1,0,81,1,0,5,8,101,1,999,0,0
98,39,10,1,0,0,1,0,5,8,203,1,999,0,0
99,46,5,1,0,229,1,0,5,8,197,1,999,0,0
100,44,2,1,0,-674,1,0,5,8,257,1,999,0,0
101,53,2,1,0,90,0,0,5,8,124,1,999,0,0
102,52,2,1,0,128,1,0,5,8,229,1,999,0,0
103,59,2,1,0,179,1,0,5,8,55,3,999,0,0
104,27,10,2,0,0,1,0,5,8,400,1,999,0,0
105,44,2,1,0,54,1,0,5,8,197,1,999,0,0
106,47,10,1,0,151,1,0,5,8,190,1,999,0,0
107,34,1,1,0,61,0,1,5,8,21,1,999,0,0
108,59,6,2,0,30,1,0,5,8,514,1,999,0,0
109,45,5,1,0,523,1,0,5,8,849,2,999,0,0
110,29,8,0,0,31,1,0,5,8,194,1,999,0,0
111,46,10,0,0,79,0,0,5,8,144,1,999,0,0
112,56,7,1,0,-34,1,1,5,8,212,2,999,0,0
113,36,2,1,0,448,1,0,5,8,286,1,999,0,0
114,59,6,0,0,81,1,0,5,8,107,1,999,0,0
115,44,2,1,0,144,1,0,5,8,247,2,999,0,0
116,41,1,1,0,351,1,0,5,8,518,1,999,0,0
117,33,5,2,0,-67,1,0,5,8,364,1,999,0,0
118,59,5,0,0,262,0,0,5,8,178,1,999,0,0
119,57,10,1,0,0,0,0,5,8,98,1,999,0,0
120,56,10,0,0,56,1,0,5,8,439,1,999,0,0
121,51,2,1,0,26,1,0,5,8,79,1,999,0,0
122,34,1,1,0,3,1,0,5,8,120,3,999,0,0
123,43,8,1,0,41,1,1,5,8,127,2,999,0,0
124,52,10,1,0,7,0,1,5,8,175,1,999,0,0
125,33,10,2,0,105,1,0,5,8,262,2,999,0,0
126,29,1,2,0,818,1,1,5,8,61,1,999,0,0
127,34,8,1,0,-16,1,1,5,8,78,1,999,0,0
128,31,2,1,0,0,1,0,5,8,143,1,999,0,0
129,55,8,1,0,2476,1,0,5,8,579,1,999,0,1
130,55,5,1,0,1185,0,0,5,8,677,1,999,0,0
131,32,1,2,0,217,1,0,5,8,345,1,999,0,0
132,38,10,2,0,1685,1,0,5,8,185,1,999,0,0
133,55,1,2,0,802,1,1,5,8,100,2,999,0,0
134,28,11,2,0,0,1,0,5,8,125,2,999,0,0
135,23,2,1,0,94,1,0,5,8,193,1,999,0,0
136,32,10,2,0,0,1,0,5,8,136,1,999,0,0
137,43,8,2,0,0,0,0,5,8,73,1,999,0,0
138,32,2,1,0,517,1,0,5,8,528,1,999,0,0
139,46,2,1,0,265,1,0,5,8,541,1,999,0,0
140,53,4,0,0,947,1,0,5,8,163,1,999,0,0
141,34,7,2,0,3,1,0,5,8,301,1,999,0,0
142,57,11,1,0,42,0,0,5,8,46,1,999,0,0
143,37,2,1,0,37,1,0,5,8,204,1,999,0,0
144,59,2,1,0,57,1,0,5,8,98,1,999,0,0
145,33,8,1,0,22,1,0,5,8,71,1,999,0,0
146,56,2,0,0,8,1,0,5,8,157,2,999,0,0
147,48,11,1,0,293,1,0,5,8,243,1,999,0,0
148,43,8,1,0,3,1,0,5,8,186,2,999,0,0
149,54,2,1,0,348,1,0,5,8,579,2,999,0,0
150,51,2,1,0,-19,1,0,5,8,163,2,999,0,0
151,26,9,2,0,0,1,0,5,8,610,2,999,0,0
152,40,5,1,0,-4,1,0,5,8,2033,1,999,0,0
153,39,5,1,0,18,1,0,5,8,85,1,999,0,0
154,50,10,1,0,139,0,0,5,8,114,2,999,0,0
155,41,8,1,0,0,1,0,5,8,114,2,999,0,0
156,51,2,1,0,1883,1,0,5,8,57,1,999,0,0
157,60,6,0,0,216,1,0,5,8,238,1,999,0,0
158,52,2,1,0,782,1,0,5,8,93,3,999,0,0
159,48,2,1,0,904,1,0,5,8,128,2,999,0,0
160,48,8,1,0,1705,1,0,5,8,107,1,999,0,0
161,39,10,2,0,47,1,0,5,8,181,1,999,0,0
162,47,8,2,0,176,1,0,5,8,303,2,999,0,0
163,40,2,1,0,1225,1,0,5,8,558,5,999,0,0
164,45,10,1,0,86,1,0,5,8,270,1,999,0,0
165,26,1,2,0,82,1,0,5,8,228,1,999,0,0
166,52,5,1,0,271,1,0,5,8,99,1,999,0,0
167,54,10,1,0,1378,1,0,5,8,240,1,999,0,0
168,54,1,1,0,184,0,0,5,8,673,2,999,0,1
169,50,2,1,0,0,0,0,5,8,233,3,999,0,0
170,35,2,1,0,0,1,0,5,8,1056,1,999,0,0
171,44,8,1,0,1357,1,1,5,8,250,1,999,0,0
172,53,3,1,0,19,1,0,5,8,252,1,999,0,0
173,35,6,2,0,434,0,0,5,8,138,1,999,0,0
174,60,1,0,0,92,1,0,5,8,130,1,999,0,0
175,53,1,0,0,1151,1,0,5,8,412,1,999,0,0
176,48,11,1,0,41,1,0,5,8,179,2,999,0,0
177,34,10,1,0,51,1,0,5,8,19,2,999,0,0
178,54,8,1,0,214,1,0,5,8,458,2,999,0,0
179,51,5,1,0,1161,1,0,5,8,717,1,999,0,0
180,31,8,1,0,37,1,0,5,8,313,1,999,0,0
181,35,10,0,0,787,1,0,5,8,683,2,999,0,0
182,35,8,1,0,59,1,0,5,8,1077,1,999,0,0
183,38,10,1,0,253,1,0,5,8,416,1,999,0,0
184,36,1,1,0,211,1,0,5,8,146,2,999,0,0
185,58,6,1,0,235,1,0,5,8,167,1,999,0,0
186,40,8,0,0,4384,1,0,5,8,315,1,999,0,0
187,54,5,1,0,4080,0,0,5,8,140,1,999,0,0
188,34,2,2,0,53,1,1,5,8,346,1,999,0,0
189,31,5,2,0,0,1,0,5,8,562,1,999,0,0
190,51,6,1,0,2127,1,0,5,8,172,1,999,0,0
191,33,5,1,0,377,1,0,5,8,217,1,999,0,0
192,55,5,1,0,73,1,0,5,8,142,2,999,0,0
193,42,1,1,0,445,1,0,5,8,67,1,999,0,0
194,34,2,1,0,243,1,0,5,8,291,1,999,0,0
195,33,2,2,0,307,1,0,5,8,309,2,999,0,0
196,38,8,1,0,155,1,0,5,8,248,1,999,0,0
197,50,10,0,0,173,0,1,5,8,98,1,999,0,0
198,43,5,1,0,400,1,0,5,8,256,1,999,0,0
199,61,2,0,0,1428,1,0,5,8,82,2,999,0,0
200,47,1,1,0,219,1,0,5,8,577,1,999,0,0
201,48,7,1,0,7,1,0,5,8,286,1,999,0,0
202,44,2,1,0,575,1,0,5,8,477,1,999,0,0
203,35,9,2,0,298,1,0,5,8,611,2,999,0,0
204,35,8,1,0,0,1,0,5,8,471,1,999,0,0
205,50,8,1,0,5699,1,0,5,8,381,2,999,0,0
206,41,5,1,0,176,1,1,5,8,42,1,999,0,0
207,41,5,1,0,517,1,0,5,8,251,1,999,0,0
208,39,8,2,0,257,1,0,5,8,408,1,999,0,0
209,42,6,1,0,56,1,0,5,8,215,1,999,0,0
210,38,2,1,0,-390,1,0,5,8,287,1,999,0,0
211,53,6,1,0,330,1,0,5,8,216,2,999,0,0
212,59,4,0,0,195,0,0,5,8,366,2,999,0,0
213,36,8,1,0,301,1,0,5,8,210,1,999,0,0
214,54,2,1,0,-41,1,0,5,8,288,1,999,0,0
215,40,10,1,0,483,1,0,5,8,168,1,999,0,0
216,47,0,1,0,28,0,0,5,8,338,2,999,0,0
217,53,11,1,0,13,0,0,5,8,410,3,999,0,0
218,46,4,1,0,965,0,0,5,8,177,1,999,0,0
219,39,5,1,0,378,1,1,5,8,127,2,999,0,0
220,40,11,1,0,219,1,0,5,8,357,1,999,0,0
221,28,2,1,0,324,1,0,5,8,175,1,999,0,0
222,35,3,0,0,-69,1,0,5,8,300,1,999,0,0
223,55,6,1,0,0,0,1,5,8,136,1,999,0,0
224,43,10,0,0,205,1,0,5,8,1419,1,999,0,0
225,48,2,1,0,278,1,0,5,8,125,2,999,0,0
226,58,5,1,0,1065,1,0,5,8,213,3,999,0,0
227,33,5,2,0,34,1,0,5,8,27,1,999,0,0
228,36,2,1,0,1033,0,0,5,8,238,2,999,0,0
229,53,8,0,0,1467,1,0,5,8,124,1,999,0,0
230,47,2,1,0,-12,1,0,5,8,18,1,999,0,0
231,31,8,1,0,388,1,0,5,8,730,2,999,0,0
232,57,3,1,0,294,1,0,5,8,746,2,999,0,0
233,53,2,1,0,1827,0,0,5,8,121,1,999,0,0
234,55,2,1,0,627,1,0,5,8,247,1,999,0,0
235,45,2,1,0,25,1,0,5,8,40,1,999,0,0
236,53,1,0,0,315,1,0,5,8,181,2,999,0,0
237,37,2,1,0,0,1,0,5,8,79,1,999,0,0
238,44,1,0,0,66,1,0,5,8,206,1,999,0,0
239,49,2,0,0,-9,1,1,5,8,389,1,999,0,0
240,46,10,1,0,349,1,1,5,8,127,1,999,0,0
241,43,3,1,0,100,1,0,5,8,702,1,999,0,0
242,38,1,1,0,0,0,0,5,8,151,1,999,0,0
243,43,10,1,0,434,1,0,5,8,117,1,999,0,0
244,49,5,1,0,3237,1,0,5,8,232,3,999,0,0
245,42,5,1,0,275,0,0,5,8,408,2,999,0,0
246,22,2,2,0,0,1,0,5,8,179,2,999,0,0
247,40,5,1,0,207,1,0,5,8,39,1,999,0,0
248,39,2,1,0,483,1,0,5,8,282,1,999,0,0
249,51,8,1,0,2248,1,0,5,8,714,2,999,0,0
250,49,1,1,0,428,1,0,5,8,50,1,999,0,0
251,53,2,1,0,0,1,1,5,8,181,1,999,0,0
252,34,8,2,0,0,1,0,5,8,142,1,999,0,0
253,33,10,0,0,140,1,0,5,8,227,1,999,0,0
254,50,5,2,0,297,1,0,5,8,119,1,999,0,0
255,39,2,1,0,279,1,0,5,8,361,1,999,0,0
256,59,3,0,0,901,1,0,5,8,73,3,999,0,0
257,30,10,2,0,2573,1,0,5,8,67,2,999,0,0
258,36,8,1,0,143,1,1,5,8,350,1,999,0,0
259,40,2,1,0,475,1,0,5,8,332,2,999,0,0
260,53,2,1,0,70,1,0,5,8,611,2,999,0,0
261,34,5,2,0,318,1,0,5,8,113,2,999,0,0
262,37,10,1,0,275,1,0,5,8,132,1,999,0,0
263,42,5,0,0,742,1,0,5,8,58,3,999,0,0
264,41,3,1,0,236,1,0,5,8,151,1,999,0,0
265,30,9,2,0,25,1,0,5,8,89,2,999,0,0
266,37,5,2,0,600,1,0,5,8,152,1,999,0,0
267,39,1,0,0,-349,1,0,5,8,611,2,999,0,0
268,41,2,1,0,183,1,1,5,8,110,2,999,0,0
269,40,2,1,0,0,1,0,5,8,463,1,999,0,0
270,42,5,2,0,0,1,1,5,8,562,2,999,0,1
271,40,2,0,0,0,1,0,5,8,962,1,999,0,0
272,57,10,1,0,1078,1,0,5,8,10,4,999,0,0
273,56,3,0,0,155,0,0,5,8,118,3,999,0,0
274,37,1,1,0,190,1,0,5,8,92,2,999,0,0
275,59,6,1,0,319,1,0,5,8,143,3,999,0,0
276,39,8,0,0,-185,1,0,5,8,189,3,999,0,0
277,49,8,1,0,47,0,0,5,8,234,2,999,0,0
278,38,8,2,0,570,1,0,5,8,75,2,999,0,0
279,36,7,1,0,19,0,0,5,8,189,2,999,0,0
280,50,2,1,0,61,1,0,5,8,621,3,999,0,0
281,41,1,1,0,-62,1,1,5,8,55,2,999,0,0
282,54,10,1,0,258,0,0,5,8,310,4,999,0,0
283,58,2,1,0,76,1,0,5,8,156,2,999,0,0
284,30,2,2,0,0,1,0,5,8,5,2,999,0,0
285,33,1,2,0,352,1,0,5,8,225,2,999,0,0
286,47,1,1,0,368,1,0,5,8,125,2,999,0,0
287,50,10,2,0,339,1,0,5,8,2,3,999,0,0
288,32,2,1,0,1331,1,0,5,8,286,2,999,0,0
289,40,7,1,0,672,1,0,5,8,164,2,999,0,0
290,37,5,1,0,58,1,0,5,8,98,2,999,0,0
291,54,10,2,0,447,1,0,5,8,742,2,999,0,0
292,24,9,2,0,423,1,0,5,8,226,3,999,0,0
293,54,5,1,0,0,0,0,5,8,120,2,999,0,0
294,34,10,1,0,19,1,0,5,8,362,4,999,0,0
295,56,10,0,0,13,1,0,5,8,357,2,999,0,0
296,31,2,2,0,3,1,0,5,8,200,2,999,0,0
297,24,9,2,0,82,1,0,5,8,204,2,999,0,0
298,42,2,0,0,28,1,0,5,8,126,3,999,0,0
299,57,10,1,0,792,1,0,5,8,65,2,999,0,0
300,42,2,1,0,408,1,0,5,8,107,2,999,0,0
301,51,1,1,0,531,1,0,5,8,267,2,999,0,0
302,57,6,1,0,211,1,0,5,8,248,2,999,0,0
303,36,8,2,0,62,1,0,5,8,215,2,999,0,0
304,53,8,1,0,257,1,0,5,8,209,2,999,0,0
305,50,10,1,0,1234,1,0,5,8,205,2,999,0,0
306,54,5,1,0,313,1,0,5,8,83,2,999,0,0
307,55,2,1,0,89,1,0,5,8,106,3,999,0,0
308,44,2,1,0,129,1,1,5,8,189,2,999,0,0
309,43,5,1,0,0,1,0,5,8,105,2,999,0,0
310,56,1,1,0,353,1,0,5,8,106,2,999,0,0
311,54,10,1,0,851,1,0,5,8,108,2,999,0,0
312,55,8,0,0,96,1,1,5,8,311,2,999,0,0
313,37,8,0,0,398,1,1,5,8,214,2,999,0,0
314,33,1,2,0,193,0,0,5,8,132,2,999,0,0
315,46,1,1,0,-358,1,0,5,8,358,2,999,0,0
316,36,2,1,0,539,1,1,5,8,453,2,999,0,0
317,51,10,2,0,0,1,0,5,8,364,2,999,0,0
318,40,6,2,0,0,0,0,5,8,136,2,999,0,0
319,42,2,1,0,490,1,0,5,8,386,2,999,0,0
320,51,2,1,0,0,1,0,5,8,173,2,999,0,0
321,49,2,1,0,403,1,0,5,8,241,2,999,0,0
322,48,5,1,0,161,1,0,5,8,224,3,999,0,0
323,32,10,0,0,2558,0,0,5,8,148,2,999,0,0
324,31,1,2,0,98,1,0,5,8,196,2,999,0,0
325,55,5,2,0,115,0,0,5,8,111,4,999,0,0
326,40,2,2,0,436,1,0,5,8,231,3,999,0,0
327,47,10,1,0,831,1,0,5,8,316,3,999,0,0
328,57,10,1,0,206,1,0,5,8,216,3,999,0,0
329,41,2,1,0,290,1,0,5,8,240,2,999,0,0
330,48,2,1,0,1,0,0,5,8,669,3,999,0,0
331,42,2,1,0,57,1,0,5,8,425,2,999,0,0
332,30,2,2,0,-457,1,0,5,8,143,2,999,0,0
333,58,5,2,0,1387,1,0,5,8,174,5,999,0,0
334,45,5,0,0,24598,1,0,5,8,313,3,999,0,0
335,49,2,1,0,30,1,0,5,8,135,4,999,0,0
336,42,1,2,0,1022,1,0,5,8,146,2,999,0,0
337,53,10,1,0,56,1,1,5,8,152,2,999,0,0
338,51,1,2,1,-2,0,0,5,8,402,3,999,0,0
339,32,8,2,0,121,1,0,5,8,213,2,999,0,0
340,41,2,2,0,842,1,0,5,8,144,3,999,0,0
341,43,5,0,0,693,1,0,5,8,124,3,999,0,0
342,40,2,0,0,-333,1,0,5,8,183,2,999,0,0
343,50,2,1,0,1533,1,0,5,8,325,2,999,0,0
344,34,5,1,0,46,1,0,5,8,39,4,999,0,0
345,53,8,1,0,18,0,0,5,8,503,2,999,0,0
346,45,10,1,0,44,1,0,5,8,95,4,999,0,0
347,39,2,1,0,-100,1,0,5,8,680,2,999,0,0
348,44,8,1,0,510,1,0,5,8,421,4,999,0,0
349,55,5,1,0,685,1,0,5,8,174,3,999,0,0
350,46,5,2,0,187,1,0,5,8,113,2,999,0,0
351,45,2,1,0,66,1,0,5,8,808,2,999,0,0
352,34,1,1,0,560,1,0,5,8,198,3,999,0,0
353,36,2,1,0,0,1,0,5,8,195,2,999,0,0
354,59,0,0,0,27,0,0,5,8,347,3,999,0,0
355,31,1,2,0,12,1,0,5,8,208,2,999,0,0
356,44,2,2,0,34,1,0,5,8,404,4,999,0,0
357,33,3,2,0,1068,1,0,5,8,396,2,999,0,0
358,40,2,1,0,211,1,0,5,8,216,4,999,0,0
359,46,1,2,0,377,1,0,5,8,98,2,999,0,0
360,48,5,1,0,263,1,0,5,8,350,2,999,0,0
361,42,8,1,0,1263,1,0,6,8,114,2,999,0,0
362,27,8,1,0,8,1,0,6,8,88,3,999,0,0
363,48,1,1,0,126,1,1,6,8,379,2,999,0,0
364,59,1,1,0,230,1,0,6,8,190,3,999,0,0
365,46,10,1,0,841,1,0,6,8,158,1,999,0,0
366,38,1,0,0,308,1,0,6,8,102,1,999,0,0
367,43,5,0,0,1,1,0,6,8,306,1,999,0,0
368,38,1,0,0,86,1,0,6,8,218,1,999,0,0
369,23,9,2,0,157,1,0,6,8,54,1,999,0,0
370,34,8,1,0,22,1,0,6,8,344,1,999,0,0
371,38,1,1,0,46,1,1,6,8,195,1,999,0,0
372,37,2,1,0,1293,0,0,6,8,652,1,999,0,0
373,25,1,2,0,122,1,0,6,8,286,1,999,0,0
374,48,2,1,0,131,1,0,6,8,189,1,999,0,0
375,49,2,2,0,143,1,0,6,8,83,1,999,0,0
376,38,1,2,0,393,0,0,6,8,184,2,999,0,0
377,43,2,1,0,98,1,0,6,8,235,1,999,0,0
378,33,5,1,0,0,1,0,6,8,290,1,999,0,0
379,55,2,1,0,224,1,0,6,8,232,1,999,0,0
380,38,2,1,0,757,1,0,6,8,133,1,999,0,0
381,49,8,1,0,245,1,1,6,8,318,1,999,0,0
382,40,5,1,0,8486,0,0,6,8,260,3,999,0,0
383,43,1,1,0,350,0,0,6,8,437,1,999,0,0
384,38,2,1,0,20,1,0,6,8,402,1,999,0,0
385,58,8,1,0,1667,1,1,6,8,85,1,999,0,0
386,57,10,1,0,345,1,0,6,8,125,1,999,0,0
387,32,11,1,0,10,1,0,6,8,501,4,999,0,0
388,56,5,1,0,830,1,1,6,8,1201,1,999,0,1
389,58,2,0,0,29,1,0,6,8,253,1,999,0,0
390,60,6,0,0,545,1,0,6,8,1030,1,999,0,1
391,37,10,1,0,8730,1,0,6,8,149,1,999,0,0
392,46,10,0,0,477,1,0,6,8,114,1,999,0,0
393,27,1,1,0,4,1,0,6,8,243,1,999,0,0
394,43,2,1,0,1205,1,0,6,8,769,2,999,0,0
395,32,10,2,0,0,1,1,6,8,135,3,999,0,0
396,40,1,2,0,263,1,0,6,8,231,1,999,0,0
397,38,1,1,0,1,0,0,6,8,76,1,999,0,0
398,34,2,1,0,283,0,1,6,8,199,1,999,0,0
399,47,2,1,0,206,1,0,6,8,152,1,999,0,0
400,42,4,1,0,17,1,0,6,8,124,1,999,0,0
401,48,10,1,0,141,1,1,6,8,424,1,999,0,0
402,29,7,2,0,16,1,0,6,8,43,1,999,0,0
403,50,8,1,0,206,1,0,6,8,154,1,999,0,0
404,52,10,1,0,7,0,0,6,8,203,2,999,0,0
405,50,5,1,0,0,0,0,6,8,326,1,999,0,0
406,58,6,1,0,0,0,0,6,8,393,1,999,0,0
407,46,2,0,0,1927,1,0,6,8,241,3,999,0,0
408,38,10,1,0,284,1,0,6,8,483,1,999,0,0
409,46,2,1,0,1660,1,0,6,8,259,1,999,0,0
410,32,8,2,0,406,1,0,6,8,227,1,999,0,0
411,51,2,1,0,230,1,0,6,8,673,1,999,0,0
412,39,1,2,0,-25,1,0,6,8,576,1,999,0,0
413,48,1,1,0,182,1,0,6,8,180,2,999,0,0
414,36,3,1,0,1169,1,0,6,8,168,2,999,0,0
415,34,1,0,0,67,1,0,6,8,90,1,999,0,0
416,40,10,1,0,77,0,0,6,8,505,1,999,0,0
417,43,11,1,0,0,1,0,6,8,245,1,999,0,0
418,52,2,0,0,55,1,1,6,8,186,1,999,0,0
419,33,10,1,1,72,1,0,6,8,623,1,999,0,0
420,49,5,2,0,163,1,0,6,8,496,3,999,0,0
421,32,5,2,0,151,1,0,6,8,118,1,999,0,0
422,39,1,2,0,113,1,0,6,8,342,1,999,0,0
423,40,2,1,0,0,1,0,6,8,225,1,999,0,0
424,38,10,2,0,9,1,0,6,8,185,3,999,0,0
425,43,5,1,0,375,1,0,6,8,196,2,999,0,0
426,39,8,1,0,1142,1,0,6,8,276,1,999,0,0
427,54,2,1,0,2102,1,0,6,8,76,1,999,0,0
428,38,10,2,0,4325,1,0,6,8,87,1,999,0,0
429,40,2,1,0,217,1,0,6,8,195,1,999,0,0
430,55,1,1,0,131,1,0,6,8,744,1,999,0,0
431,42,5,1,0,1680,1,0,6,8,765,1,999,0,0
432,39,2,1,0,0,1,0,6,8,262,1,999,0,0
433,40,2,1,0,46,1,0,6,8,119,1,999,0,0
434,32,2,1,0,320,1,0,6,8,198,2,999,0,0
435,55,1,1,0,183,1,0,6,8,150,1,999,0,0
436,45,2,1,0,39,0,0,6,8,241,1,999,0,0
437,35,5,2,0,560,1,0,6,8,181,1,999,0,0
438,58,10,0,0,469,0,0,6,8,196,1,999,0,0
439,35,1,1,0,530,1,0,6,8,149,1,999,0,0
440,49,8,1,0,61,1,0,6,8,246,1,999,0,0
441,34,10,2,0,242,1,0,6,8,112,1,999,0,0
442,36,2,1,0,139,1,0,6,8,309,2,999,0,0
443,24,7,2,0,0,1,0,6,8,278,1,999,0,0
444,34,10,1,0,367,1,0,6,8,140,1,999,0,0
445,51,1,0,0,228,1,0,6,8,136,1,999,0,0
446,39,10,2,0,45248,1,0,6,8,1623,1,999,0,1
447,50,7,1,0,-84,1,0,6,8,101,1,999,0,0
448,32,8,2,0,310,1,0,6,8,144,1,999,0,0
449,42,2,1,0,132,1,0,6,8,238,1,999,0,0
450,50,10,1,0,797,1,0,6,8,354,1,999,0,0
451,40,8,1,0,71,0,0,6,8,79,1,999,0,0
452,46,5,0,0,2,1,0,6,8,187,1,999,0,0
453,37,5,1,0,231,1,1,6,8,451,2,999,0,0
454,34,2,1,0,270,1,1,6,8,159,1,999,0,0
455,44,2,1,0,274,1,1,6,8,409,1,999,0,0
456,40,1,2,0,-109,1,1,6,8,170,1,999,0,0
457,37,10,1,0,1,1,0,6,8,608,1,999,0,1
458,33,2,2,1,-60,0,0,6,8,243,1,999,0,0
459,35,2,1,0,89,1,0,6,8,145,2,999,0,0
